연도,전체,일반통상,특수통상,국제특급,소포
2000,121895,15985,3210,71493,31207
2001,139339,14642,2786,88074,33837
2002,159195,15571,2862,106965,33797
2003,166897,15346,2453,119479,29619
2004,175071,15160,2384,131542,25985
2005,187339,14683,2335,146125,24196
2006,186396,14415,2286,151188,18507
2007,197759,14303,2292,163767,17397
2008,227008,14647,2355,192377,17629
2009,268523,16057,3660,229012,19794
2010,290052,19557,6840,243416,20239
2011,324810,21610,12401,269674,21125
2012,375593,26447,19257,306879,23010
2013,395623,25055,24721,322672,23175
2014,439748,22867,29147,363593,24142
2015,492318,20494,22889,423957,24978
2016,486186,21526,25156,413555,25948
2017,402541,20096,33334,320989,28121
2018,389447,17363,48015,295028,29042
2019,394064,16358,50936,298604,28165
